DrugName,RiskLevel,AlternativeName,Notes
Amoxicillin,Low,Amoxil,Generally safe; adjust dose in CKD
Ampicillin,Low,Omnipen,Generally safe; adjust dose in CKD
Ceftriaxone,Moderate,Rocephin,Monitor renal function; adjust dose in CKD
Cefepime,Moderate,Maxipime,Monitor renal function; adjust dose in CKD
Meropenem,Moderate,Merrem,Monitor renal function; adjust dose in CKD
Imipenem,Moderate,Primaxin,Monitor renal function; adjust dose in CKD
Linezolid,Moderate,Zyvox,Monitor renal function; adjust dose in CKD
Daptomycin,High,Cubicin,Monitor renal function; risk of myopathy
Rifampin,Moderate,Rifadin,Monitor liver and renal function
Isoniazid,Moderate,Nydrazid,Monitor liver and renal function
Ethambutol,Moderate,Myambutol,Monitor renal function; adjust dose in CKD
Pyrazinamide,Moderate,—,Monitor liver and renal function
Levofloxacin,High,Levaquin,Adjust dose in CKD; monitor renal function
Ciprofloxacin,High,Cipro,Adjust dose in CKD; monitor renal function
Moxifloxacin,High,Avelox,Adjust dose in CKD; monitor renal function
Nitrofurantoin,High,Macrobid,Avoid in CKD stage 3–5; contraindicated if eGFR <60
Trimethoprim-Sulfamethoxazole,High,Bactrim,Monitor potassium and renal function; adjust dose in CKD
Clindamycin,Moderate,Cleocin,Monitor renal function; adjust dose in CKD
Chloramphenicol,High,—,High risk; avoid in CKD
Tetracycline,Moderate,—,Adjust dose in CKD; monitor renal function
Doxycycline,Moderate,Vibramycin,Adjust dose in CKD; monitor renal function
Minocycline,Moderate,Minocin,Adjust dose in CKD; monitor renal function
Streptomycin,High,—,High nephrotoxicity risk; monitor renal function
Kanamycin,High,Kantrex,High nephrotoxicity risk; monitor renal function
Neomycin,High,Neo-Fradin,High nephrotoxicity risk; avoid systemic use
Polymyxin B,High,—,High nephrotoxicity risk; monitor renal function
Colistin,High,—,High nephrotoxicity risk; monitor renal function
Ganciclovir,High,Cytovene,Adjust dose in CKD; monitor renal function
Valganciclovir,High,Valcyte,Adjust dose in CKD; monitor renal function
Foscarnet,High,—,High nephrotoxicity risk; monitor renal function
Cidofovir,High,—,High nephrotoxicity risk; monitor renal function
Interferon-alpha,Moderate,—,Monitor renal function; adjust dose in CKD
Ribavirin,Moderate,—,Adjust dose in CKD; monitor renal function
Sofosbuvir,Low,Sovaldi,Generally safe; monitor renal function
Ledipasvir,Low,Harvoni,Generally safe; monitor renal function
Daclatasvir,Low,—,Generally safe; monitor renal function
Abacavir,Moderate,—,Monitor renal function; adjust dose in CKD
Lamivudine,Moderate,Epivir,Adjust dose in CKD; monitor renal function
Zidovudine,Moderate,Retrovir,Adjust dose in CKD; monitor renal function
Efavirenz,Moderate,Sustiva,Monitor renal function; adjust dose in CKD
Nevirapine,Moderate,Viramune,Monitor renal function; adjust dose in CKD
Raltegravir,Low,Isentress,Generally safe; monitor renal function
Dolutegravir,Low,Tivicay,Generally safe; monitor renal function
Bictegravir,Low,Biktarvy,Generally safe; monitor renal function
Prednisone,Moderate,Deltasone,Monitor renal function; use lowest effective dose
Methylprednisolone,Moderate,Medrol,Monitor renal function; use lowest effective dose
Dexamethasone,Moderate,Decadron,Monitor renal function; use lowest effective dose
Fludrocortisone,Moderate,Florinef,Monitor renal function; use lowest effective dose
Insulin Glargine,Low,Lantus,Generally safe; adjust dose based on glucose control
Insulin Lispro,Low,Humalog,Generally safe; adjust dose based on glucose control
Insulin Aspart,Low,Novolog,Generally safe; adjust dose based on glucose control
Insulin Detemir,Low,Levemir,Generally safe; adjust dose based on glucose control
Insulin Regular,Low,Humulin R,Generally safe; adjust dose based on glucose control
Insulin NPH,Low,Humulin N,Generally safe; adjust dose based on glucose control
Sildenafil,Moderate,Viagra,Monitor renal function; adjust dose in CKD
